Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,US Start Date
75150,Vader's TIE Advanced vs. A-wing Starfighter,2016,Star Wars,702,4,89.99,2016-06-01
75157,Captain Rex's AT-TE,2016,Star Wars,972,5,119.99,2016-06-01
10253,Big Ben,2016,Advanced Models,4163,,249.99,2016-07-02
42056,Porsche 911 GT3 RS,2016,Technic,2704,,299.99,2016-07-30
10252,Volkswagen Beetle,2016,Advanced Models,1167,,99.99,2016-08-01
42053,Volvo EW160E,2016,Technic,1166,,119.99,2016-08-01
42055,Bucket Wheel Excavator,2016,Technic,3929,,279.99,2016-08-01
60104,Airport Passenger Terminal,2016,City,694,6,99.99,2016-08-01
75158,Rebel Combat Frigate,2016,Star Wars,936,5,109.99,2016-08-01
60133,City Advent Calendar,2016,City,290,7,29.99,2016-09-17
75146,Star Wars Advent Calendar,2016,Star Wars,282,10,39.99,2016-09-17
75152,Imperial Assault Hovertank,2016,Star Wars,385,3,29.99,2016-10-01
75153,AT-ST Walker,2016,Star Wars,449,3,39.99,2016-10-01
75154,TIE Striker,2016,Star Wars,543,4,69.99,2016-10-01
75155,Rebel U-wing Fighter,2016,Star Wars,659,5,79.99,2016-10-01
75159,Death Star,2016,Star Wars,4016,27,499.99,2016-10-01
10254,Winter Holiday Train,2016,Advanced Models,734,5,99.99,2016-10-02
71040,Disney Castle,2016,Disney,4080,7,349.99,2016-10-06
21306,The Beatles Yellow Submarine,2016,Ideas,553,5,59.99,2016-11-01
40205,Little Elf Helpers,2016,Seasonal,238,,9.99,2016-11-20
40206,LEGO Santa,2016,Seasonal,155,,9.99,2016-11-20
21307,Caterham Seven 620R,2016,Ideas,771,,79.99,
30372,Robin's Mini Fortrex,2016,Nexo Knights,45,1,,
30602,First Order Stormtrooper,2016,Star Wars,7,1,,
40220,London Bus,2016,Creator,118,,,
40221,Fountain,2016,Creator,105,2,,
40222,Christmas Build-Up,2016,Seasonal,250,,,
40223,Snowglobe,2016,Seasonal,215,1,9.99,
5004419,Classic Knights Minifigure,2016,Castle,47,1,,
5004420,Toy Soldier,2016,Seasonal,34,,,
5004468,Iconic Easter Minifigure,2016,Seasonal,4,1,,
5005156,Gingerbread Man,2016,Seasonal,3,1,,
71012,LEGO Minifigures - The Disney Series - Complete,2016,Collectable Minifigures,95,18,,
71013,LEGO Minifigures - Series 16 - Complete,2016,Collectable Minifigures,106,17,,
31058,Mighty Dinosaurs,2017,Creator,174,,14.99,2016-11-27
60145,Buggy,2017,City,81,1,9.99,2016-11-27
60146,Stunt Truck,2017,City,91,1,9.99,2016-11-27
70901,Mr. Freeze Ice Attack,2017,The LEGO Batman Movie,201,3,19.99,2016-11-27
70905,The Batmobile,2017,The LEGO Batman Movie,581,5,59.99,2016-11-27
70906,The Joker Notorious Lowrider,2017,The LEGO Batman Movie,433,3,49.99,2016-11-27
70909,Batcave Break-In,2017,The LEGO Batman Movie,1047,7,99.99,2016-11-27
10255,Assembly Square,2017,Advanced Models,4002,9,279.99,2017-01-02
21033,Chicago,2017,Architecture,444,,39.99,2017-01-02
21034,London,2017,Architecture,468,,39.99,2017-01-02
31062,Robo Explorer,2017,Creator,205,,19.99,2017-01-02
70900,The Joker Balloon Escape,2017,The LEGO Batman Movie,124,2,14.99,2017-01-02
70902,Catwoman Catcycle Chase,2017,The LEGO Batman Movie,139,3,19.99,2017-01-02
70903,The Riddler Riddle Racer,2017,The LEGO Batman Movie,254,5,29.99,2017-01-02
70904,Clayface Splat Attack,2017,The LEGO Batman Movie,448,2,34.99,2017-01-02
70907,Killer Croc Tail-Gator,2017,The LEGO Batman Movie,460,4,69.99,2017-01-02
70908,The Scuttler,2017,The LEGO Batman Movie,775,6,79.99,2017-01-02
70910,Scarecrow Special Delivery,2017,The LEGO Batman Movie,204,3,19.99,2017-01-02
70911,The Penguin Arctic Roller,2017,The LEGO Batman Movie,305,2,29.99,2017-01-02
70912,Arkham Asylum,2017,The LEGO Batman Movie,1628,13,149.99,2017-01-02
40172,Brick Calendar,2017,Miscellaneous,278,1,19.99,2017-01-17
42063,BMW R 1200 GS Adventure,2017,Technic,603,,59.99,2017-02-17
75168,Yoda's Jedi Starfighter,2017,Star Wars,262,2,24.99,2017-02-17
75169,Duel on Naboo,2017,Star Wars,208,3,24.99,2017-02-17
75170,The Phantom,2017,Star Wars,269,3,29.99,2017-02-17
75172,Y-wing Starfighter,2017,Star Wars,691,5,59.99,2017-02-17
75173,Luke's Landspeeder,2017,Star Wars,149,4,19.99,2017-02-17
75174,Desert Skiff Escape,2017,Star Wars,277,4,29.99,2017-02-17
75175,A-wing Starfighter,2017,Star Wars,358,3,39.99,2017-02-17
75877,Mercedes-AMG GT3,2017,Speed Champions,196,1,14.99,2017-02-17
75879,Scuderia Ferrari SF16-H,2017,Speed Champions,184,1,14.99,2017-02-17
75881,2016 Ford GT & 1966 Ford GT40,2017,Speed Champions,366,3,29.99,2017-02-17
76081,The Milano vs. The Abilisk,2017,Marvel Super Heroes,460,5,49.99,2017-02-17
41585,Batman,2017,BrickHeadz,91,,9.99,2017-03-01
41586,Batgirl,2017,BrickHeadz,99,,9.99,2017-03-01
41587,Robin,2017,BrickHeadz,101,,9.99,2017-03-01
41588,The Joker,2017,BrickHeadz,151,,9.99,2017-03-01
41589,Captain America,2017,BrickHeadz,79,,9.99,2017-03-01
41590,Iron Man,2017,BrickHeadz,96,,9.99,2017-03-01
41591,Black Widow,2017,BrickHeadz,143,,9.99,2017-03-01
41592,The Hulk,2017,BrickHeadz,93,,9.99,2017-03-01
41595,Belle,2017,BrickHeadz,139,,9.99,2017-03-01
41596,Beast,2017,BrickHeadz,116,,9.99,2017-03-01
41593,Captain Jack Sparrow,2017,BrickHeadz,109,,9.99,2017-04-02
41594,Captain Armando Salazar,2017,BrickHeadz,118,,9.99,2017-04-02
75144,Snowspeeder,2017,Star Wars,1703,2,199.99,2017-05-05
71267,The Goonies Level Pack,2017,Dimensions,118,1,29.99,2017-05-10
31066,Space Shuttle Explorer,2017,Creator,285,1,29.99,2017-05-29
31070,Turbo Track Racer,2017,Creator,664,,59.99,2017-05-29
21309,NASA Apollo Saturn V,2017,Ideas,1969,,119.99,2017-06-02
70913,Scarecrow Fearful Face-off,2017,The LEGO Batman Movie,141,2,14.99,2017-06-02
70914,Bane Toxic Truck Attack,2017,The LEGO Batman Movie,366,3,49.99,2017-06-02
70915,Two-Face Double Demolition,2017,The LEGO Batman Movie,564,4,59.99,2017-06-02
70916,The Batwing,2017,The LEGO Batman Movie,1053,3,89.99,2017-06-02
70917,The Ultimate Batmobile,2017,The LEGO Batman Movie,1456,8,139.99,2017-06-02
75182,Republic Fighter Tank,2017,Star Wars,305,4,24.99,2017-06-02
75183,Darth Vader Transformation,2017,Star Wars,282,6,24.99,2017-06-02
75191,Jedi Starfighter with Hyperdrive,2017,Star Wars,825,4,99.99,2017-06-02
75531,Stormtrooper Commander,2017,Star Wars,100,,24.99,2017-06-02
75532,Scout Trooper & Speeder Bike,2017,Star Wars,452,,54.99,2017-06-02
10258,London Bus,2017,Advanced Models,1686,,139.99,2017-08-01
42065,RC Tracked Racer,2017,Technic,370,,99.99,2017-08-01
