Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,Running Total,Released,US Start Date,US End Date,Last Updated
75019,AT-TE,2013,Star Wars,794,5,89.99,12134.51,true,2013-08-01,2014-12-08,2016-05-18 13:22:15
75048,The Phantom,2014,Star Wars,234,2,24.99,12159.50,true,2014-08-02,2015-10-28,2014-06-10 08:13:12
75053,The Ghost,2014,Star Wars,929,4,89.99,12249.49,true,2014-08-02,2015-11-28,2014-06-10 08:13:28
75059,Sandcrawler,2014,Star Wars,3296,14,299.99,12549.48,true,2014-05-04,2016-11-21,2014-11-19 18:32:10
75060,Slave I,2015,Star Wars,1996,4,199.99,12749.47,true,2015-01-01,,2014-12-28 03:23:40
75082,TIE Advanced Prototype,2015,Star Wars,355,3,39.99,12789.46,true,2015-01-01,2016-11-26,2014-12-28 03:24:06
75087,Anakin's Custom Jedi Starfighter,2015,Star Wars,370,3,39.99,12829.45,true,2015-01-01,2016-12-10,2015-01-20 18:23:52
75093,Death Star Final Duel,2015,Star Wars,724,5,79.99,12909.44,true,2015-06-01,2016-12-18,2015-11-21 23:30:46
75094,Imperial Shuttle Tydirium,2015,Star Wars,937,5,99.99,13009.43,true,2015-06-01,2016-12-19,2015-11-21 23:30:54
75095,TIE Fighter,2015,Star Wars,1685,1,199.99,13209.42,true,2015-05-03,2017-09-20,2015-05-01 20:54:46
75099,Rey's Speeder,2015,Star Wars,193,2,19.99,13229.41,true,2015-09-05,,2015-09-07 22:49:45
75102,Poe's X-wing Fighter,2015,Star Wars,717,4,79.99,13309.40,true,2015-09-05,,2015-09-30 15:28:04
75103,First Order Transporter,2015,Star Wars,792,7,89.99,13399.39,true,2015-09-05,2016-12-20,2015-09-07 22:51:02
75105,Millennium Falcon,2015,Star Wars,1329,7,149.99,13549.38,true,2015-09-05,,2015-09-11 23:49:07
75111,Darth Vader,2015,Star Wars,160,,29.99,13579.37,true,2015-09-05,,2015-11-25 20:42:59
75114,First Order Stormtrooper,2016,Star Wars,81,,19.99,13599.36,true,2016-01-02,,2015-12-19 00:00:54
75136,Droid Escape Pod,2016,Star Wars,197,4,24.99,13624.35,true,2016-03-01,2016-11-26,2016-02-13 22:07:12
75137,Carbon-Freezing Chamber,2016,Star Wars,231,3,24.99,13649.34,true,2016-03-01,,2016-02-13 22:07:41
75140,Resistance Troop Transporter,2016,Star Wars,646,4,69.99,13719.33,true,2016-01-02,2016-12-05,2017-04-09 22:41:17
75146,Star Wars Advent Calendar,2016,Star Wars,282,10,39.99,13759.32,true,2016-09-17,2016-11-20,2016-12-01 22:36:10
75149,Resistance X-wing Fighter,2016,Star Wars,740,4,79.99,13839.31,true,2016-06-01,,2016-05-15 16:34:30
75150,Vader's TIE Advanced vs. A-wing Starfighter,2016,Star Wars,702,4,89.99,13929.30,true,2016-06-01,2016-12-01,2016-12-11 09:44:20
75152,Imperial Assault Hovertank,2016,Star Wars,385,3,29.99,13959.29,true,2016-10-01,,2017-01-07 22:02:16
75153,AT-ST Walker,2016,Star Wars,449,3,39.99,13999.28,true,2016-10-01,2017-11-09,2016-09-23 22:09:03
75154,TIE Striker,2016,Star Wars,543,4,69.99,14069.27,true,2016-10-01,,2016-09-23 22:09:04
75155,Rebel U-wing Fighter,2016,Star Wars,659,5,79.99,14149.26,true,2016-10-01,,2016-09-23 22:09:06
75157,Captain Rex's AT-TE,2016,Star Wars,972,5,119.99,14269.25,true,2016-06-01,,2016-05-15 16:34:36
75158,Rebel Combat Frigate,2016,Star Wars,936,5,109.99,14379.24,true,2016-08-01,2017-05-05,2016-05-15 22:06:57
75159,Death Star,2016,Star Wars,4016,27,499.99,14879.23,true,2016-10-01,,2016-09-17 04:32:20
75168,Yoda's Jedi Starfighter,2017,Star Wars,262,2,24.99,14904.22,true,2017-02-17,,2016-12-13 07:32:25
75169,Duel on Naboo,2017,Star Wars,208,3,24.99,14929.21,true,2017-02-17,,2016-12-13 07:32:26
75170,The Phantom,2017,Star Wars,269,3,29.99,14959.20,true,2017-02-17,,2016-12-18 23:28:03
75172,Y-wing Starfighter,2017,Star Wars,691,5,59.99,15019.19,true,2017-02-17,,2016-12-13 07:32:32
75173,Luke's Landspeeder,2017,Star Wars,149,4,19.99,15039.18,true,2017-02-17,,2016-12-13 07:32:33
75174,Desert Skiff Escape,2017,Star Wars,277,4,29.99,15069.17,true,2017-02-17,,2016-12-13 07:32:35
75175,A-wing Starfighter,2017,Star Wars,358,3,39.99,15109.16,true,2017-02-17,,2016-12-13 07:32:37
75184,Star Wars Advent Calendar,2017,Star Wars,309,8,39.99,15149.15,true,2017-09-02,,2017-02-19 20:41:35
75192,Millennium Falcon,2017,Star Wars,7541,8,799.99,,true,,,2017-09-14 09:33:29
75827,Firehouse Headquarters,2016,Ghostbusters,4634,10,349.99,15499.14,true,2016-01-02,,2016-01-03 16:25:04
75871,Ford Mustang GT,2016,Speed Champions,185,1,14.99,15514.13,true,2016-03-01,,2016-02-21 15:57:56
75872,Audi R18 e-tron quattro,2016,Speed Champions,166,1,14.99,15529.12,true,2016-03-01,,2016-02-21 15:58:42
75873,Audi R8 LMS ultra,2016,Speed Champions,175,1,14.99,15544.11,true,2016-03-01,,2016-02-21 15:59:16
75874,Chevrolet Camaro Drag Race,2016,Speed Champions,445,3,29.99,15574.10,true,2016-03-01,,2016-03-16 12:55:51
75877,Mercedes-AMG GT3,2017,Speed Champions,196,1,14.99,15589.09,true,2017-02-17,,2017-04-10 02:00:06
75879,Scuderia Ferrari SF16-H,2017,Speed Champions,184,1,14.99,15604.08,true,2017-02-17,,2017-11-10 13:10:20
75881,2016 Ford GT & 1966 Ford GT40,2017,Speed Champions,366,3,29.99,15634.07,true,2017-02-17,,2017-04-10 02:01:02
75902,The Mystery Machine,2015,Scooby-Doo,301,3,29.99,15664.06,true,2015-08-29,2016-10-31,2017-11-08 08:10:24
75904,Mystery Mansion,2015,Scooby-Doo,860,6,89.99,15754.05,true,2015-08-08,2016-11-11,2017-11-08 08:09:21
75913,F14 T & Scuderia Ferrari Truck,2015,Speed Champions,884,6,99.99,15854.04,true,2015-03-01,2016-11-21,2016-01-18 22:43:54
76023,The Tumbler,2014,DC Comics Super Heroes,1869,2,199.99,16054.03,true,2014-12-24,2016-01-05,2015-12-07 20:43:43
76052,Batman Classic TV Series - Batcave,2016,DC Comics Super Heroes,2526,9,269.99,16324.02,true,2016-03-01,,2017-06-11 04:54:08
76081,The Milano vs. The Abilisk,2017,Marvel Super Heroes,460,5,49.99,16374.01,true,2017-02-17,,2017-02-15 19:51:45
